trialnum,trialtype,tex_Stim_Left,tex_Stim_Right,StimLocation,reward
1444,G,fwn1_25,stimC,153,1
1445,N,fwn1_25,stimD,154,0
1446,N,fwn1_25,stimD,179,0
1447,G,fwn1_25,stimC,201,1
1448,N,fwn1_25,stimD,210,0
1449,N,fwn1_25,stimD,150,0
1450,N,fwn1_25,stimD,183,0
1451,N,stimD,fwn1_25,202,0
1452,G,stimC,fwn1_25,205,1
1453,N,stimD,fwn1_25,201,0
1454,N,stimD,fwn1_25,203,0
1455,N,stimD,fwn1_25,195,0
1456,N,stimD,fwn1_25,157,0
1457,N,stimD,fwn1_25,181,0
1458,N,stimD,fwn1_25,160,0
1459,N,stimD,fwn1_25,200,0
1460,G,stimC,fwn1_25,206,1
1461,N,stimD,fwn1_25,160,0
1462,N,stimD,fwn1_25,203,0
1463,N,stimD,fwn1_25,173,0
1464,N,stimD,fwn1_25,173,0
1465,N,stimD,fwn1_25,166,0
1466,G,stimC,fwn1_25,202,1
1467,N,stimD,fwn1_25,195,0
1468,N,stimD,fwn1_25,177,0
1469,G,stimC,fwn1_25,193,1
1470,N,stimD,fwn1_25,207,0
1471,N,stimD,fwn1_25,160,0
1472,N,stimD,fwn1_25,164,0
1473,G,stimC,fwn1_25,189,1
1474,N,stimD,fwn1_25,199,0
1475,N,stimD,fwn1_25,202,0
1476,N,stimD,fwn1_25,174,0
1477,N,stimD,fwn1_25,157,0
1478,G,stimC,fwn1_25,154,1
1479,N,stimD,fwn1_25,171,0
1480,N,stimD,fwn1_25,200,0
1481,N,stimD,fwn1_25,163,0
1482,N,stimD,fwn1_25,198,0
1483,N,stimD,fwn1_25,189,0
1484,N,stimD,fwn1_25,151,0
1485,N,stimD,fwn1_25,197,0
1486,G,stimC,fwn1_25,206,1
1487,N,stimD,fwn1_25,180,0
1488,G,stimC,fwn1_25,200,1
1489,N,stimD,fwn1_25,158,0
1490,N,stimD,fwn1_25,196,0
1491,N,stimD,fwn1_25,206,0
1492,G,stimC,fwn1_25,200,1
1493,G,stimC,fwn1_25,165,1
1494,N,stimD,fwn1_25,162,0
1495,N,stimD,fwn1_25,181,0
1496,N,stimD,fwn1_25,174,0
1497,N,stimD,fwn1_25,179,0
1498,N,stimD,fwn1_25,210,0
1499,N,stimD,fwn1_25,186,0
1500,N,stimD,fwn1_25,207,0
1501,N,fwn1_25,stimD,179,0
1502,N,fwn1_25,stimD,176,0
1503,N,fwn1_25,stimD,197,0
1504,G,fwn1_25,stimC,195,1
1505,N,fwn1_25,stimD,177,0
1506,N,fwn1_25,stimD,153,0
1507,N,fwn1_25,stimD,155,0
1508,G,fwn1_25,stimC,198,1
1509,N,fwn1_25,stimD,189,0
1510,N,fwn1_25,stimD,151,0
1511,G,fwn1_25,stimC,183,1
1512,N,fwn1_25,stimD,193,0
1513,N,fwn1_25,stimD,156,0
1514,N,fwn1_25,stimD,163,0
1515,N,fwn1_25,stimD,199,0
1516,N,fwn1_25,stimD,158,0
1517,N,fwn1_25,stimD,203,0
1518,G,fwn1_25,stimC,206,1
1519,N,fwn1_25,stimD,150,0
1520,N,fwn1_25,stimD,173,0
1521,G,fwn1_25,stimC,160,1
1522,N,fwn1_25,stimD,182,0
1523,N,fwn1_25,stimD,156,0
1524,N,fwn1_25,stimD,152,0
1525,N,fwn1_25,stimD,206,0
1526,N,fwn1_25,stimD,209,0
1527,G,fwn1_25,stimC,172,1
1528,N,fwn1_25,stimD,189,0
1529,N,fwn1_25,stimD,154,0
1530,N,fwn1_25,stimD,162,0
1531,N,fwn1_25,stimD,152,0
1532,G,fwn1_25,stimC,178,1
1533,G,fwn1_25,stimC,159,1
1534,N,fwn1_25,stimD,210,0
1535,N,fwn1_25,stimD,176,0
1536,N,fwn1_25,stimD,208,0
1537,N,fwn1_25,stimD,194,0
1538,N,fwn1_25,stimD,185,0
1539,N,fwn1_25,stimD,182,0
1540,N,fwn1_25,stimD,193,0
1541,N,fwn1_25,stimD,150,0
1542,G,fwn1_25,stimC,197,1
1543,G,fwn1_25,stimC,206,1
1544,N,fwn1_25,stimD,150,0
1545,N,fwn1_25,stimD,200,0
1546,N,fwn1_25,stimD,196,0
1547,N,fwn1_25,stimD,210,0
1548,N,fwn1_25,stimD,163,0
1549,N,fwn1_25,stimD,206,0
1550,N,fwn1_25,stimD,189,0
1551,G,stimC,fwn1_25,156,1
1552,N,stimD,fwn1_25,166,0
1553,N,stimD,fwn1_25,196,0
1554,N,stimD,fwn1_25,199,0
1555,N,stimD,fwn1_25,156,0
1556,N,stimD,fwn1_25,178,0
1557,N,stimD,fwn1_25,163,0
1558,N,stimD,fwn1_25,206,0
1559,N,stimD,fwn1_25,169,0
1560,G,stimC,fwn1_25,202,1
1561,G,stimC,fwn1_25,165,1
1562,G,stimC,fwn1_25,203,1
1563,N,stimD,fwn1_25,161,0
1564,N,stimD,fwn1_25,196,0
1565,N,stimD,fwn1_25,151,0
1566,N,stimD,fwn1_25,189,0
1567,N,stimD,fwn1_25,184,0
1568,N,stimD,fwn1_25,172,0
1569,N,stimD,fwn1_25,162,0
1570,N,stimD,fwn1_25,198,0
1571,N,stimD,fwn1_25,158,0
1572,N,stimD,fwn1_25,179,0
1573,G,stimC,fwn1_25,150,1
1574,N,stimD,fwn1_25,161,0
1575,N,stimD,fwn1_25,179,0
1576,N,stimD,fwn1_25,201,0
1577,N,stimD,fwn1_25,158,0
1578,N,stimD,fwn1_25,194,0
1579,N,stimD,fwn1_25,192,0
1580,G,stimC,fwn1_25,152,1
1581,N,stimD,fwn1_25,179,0
1582,G,stimC,fwn1_25,209,1
1583,N,stimD,fwn1_25,156,0
1584,N,stimD,fwn1_25,195,0
1585,N,stimD,fwn1_25,188,0
1586,N,stimD,fwn1_25,186,0
1587,N,stimD,fwn1_25,180,0
1588,N,stimD,fwn1_25,184,0
1589,G,stimC,fwn1_25,176,1
1590,N,stimD,fwn1_25,154,0
1591,N,stimD,fwn1_25,167,0
1592,G,stimC,fwn1_25,184,1
1593,G,stimC,fwn1_25,188,1
1594,N,stimD,fwn1_25,206,0
1595,N,stimD,fwn1_25,209,0
1596,N,stimD,fwn1_25,155,0
1597,N,stimD,fwn1_25,190,0
1598,N,stimD,fwn1_25,186,0
1599,N,stimD,fwn1_25,178,0
1600,N,stimD,fwn1_25,171,0
1601,N,fwn1_25,stimD,179,0
1602,N,fwn1_25,stimD,190,0
1603,N,fwn1_25,stimD,208,0
1604,G,fwn1_25,stimC,155,1
1605,N,fwn1_25,stimD,198,0
1606,G,fwn1_25,stimC,186,1
1607,N,fwn1_25,stimD,205,0
1608,N,fwn1_25,stimD,156,0
1609,N,fwn1_25,stimD,167,0
1610,N,fwn1_25,stimD,153,0
1611,N,fwn1_25,stimD,180,0
1612,N,fwn1_25,stimD,196,0
1613,N,fwn1_25,stimD,167,0
1614,N,fwn1_25,stimD,163,0
1615,N,fwn1_25,stimD,170,0
1616,N,fwn1_25,stimD,177,0
1617,G,fwn1_25,stimC,194,1
1618,G,fwn1_25,stimC,181,1
1619,N,fwn1_25,stimD,173,0
1620,N,fwn1_25,stimD,205,0
1621,N,fwn1_25,stimD,208,0
1622,G,fwn1_25,stimC,188,1
1623,N,fwn1_25,stimD,158,0
1624,N,fwn1_25,stimD,187,0
1625,N,fwn1_25,stimD,173,0
1626,N,fwn1_25,stimD,210,0
1627,N,fwn1_25,stimD,167,0
1628,N,fwn1_25,stimD,193,0
1629,G,fwn1_25,stimC,182,1
1630,N,fwn1_25,stimD,161,0
1631,N,fwn1_25,stimD,192,0
1632,N,fwn1_25,stimD,153,0
1633,G,fwn1_25,stimC,161,1
1634,N,fwn1_25,stimD,152,0
1635,N,fwn1_25,stimD,203,0
1636,N,fwn1_25,stimD,201,0
1637,N,fwn1_25,stimD,157,0
1638,N,fwn1_25,stimD,175,0
1639,N,fwn1_25,stimD,157,0
1640,G,fwn1_25,stimC,184,1
1641,G,fwn1_25,stimC,207,1
1642,N,fwn1_25,stimD,165,0
1643,N,fwn1_25,stimD,210,0
1644,G,fwn1_25,stimC,171,1
1645,N,fwn1_25,stimD,162,0
1646,N,fwn1_25,stimD,190,0
1647,N,fwn1_25,stimD,209,0
1648,N,fwn1_25,stimD,187,0
1649,N,fwn1_25,stimD,153,0
1650,N,fwn1_25,stimD,172,0
1651,N,stimD,fwn1_25,160,0
1652,G,stimC,fwn1_25,164,1
1653,N,stimD,fwn1_25,153,0
1654,N,stimD,fwn1_25,205,0
1655,N,stimD,fwn1_25,198,0
1656,N,stimD,fwn1_25,172,0
1657,G,stimC,fwn1_25,200,1
1658,N,stimD,fwn1_25,195,0
1659,N,stimD,fwn1_25,187,0
1660,N,stimD,fwn1_25,174,0
1661,N,stimD,fwn1_25,171,0
1662,N,stimD,fwn1_25,155,0
1663,N,stimD,fwn1_25,170,0
1664,N,stimD,fwn1_25,183,0
1665,N,stimD,fwn1_25,178,0
1666,G,stimC,fwn1_25,189,1
1667,G,stimC,fwn1_25,181,1
1668,N,stimD,fwn1_25,199,0
1669,N,stimD,fwn1_25,155,0
1670,N,stimD,fwn1_25,178,0
1671,G,stimC,fwn1_25,185,1
1672,N,stimD,fwn1_25,161,0
1673,N,stimD,fwn1_25,187,0
1674,N,stimD,fwn1_25,153,0
1675,G,stimC,fwn1_25,185,1
1676,N,stimD,fwn1_25,201,0
1677,N,stimD,fwn1_25,180,0
1678,N,stimD,fwn1_25,176,0
1679,N,stimD,fwn1_25,159,0
1680,N,stimD,fwn1_25,151,0
1681,N,stimD,fwn1_25,196,0
1682,G,stimC,fwn1_25,198,1
1683,N,stimD,fwn1_25,167,0
1684,N,stimD,fwn1_25,157,0
1685,N,stimD,fwn1_25,172,0
1686,N,stimD,fwn1_25,200,0
1687,N,stimD,fwn1_25,201,0
1688,N,stimD,fwn1_25,190,0
1689,G,stimC,fwn1_25,208,1
1690,N,stimD,fwn1_25,207,0
1691,N,stimD,fwn1_25,156,0
1692,N,stimD,fwn1_25,189,0
1693,N,stimD,fwn1_25,179,0
1694,N,stimD,fwn1_25,154,0
1695,G,stimC,fwn1_25,204,1
1696,N,stimD,fwn1_25,180,0
1697,N,stimD,fwn1_25,197,0
1698,N,stimD,fwn1_25,153,0
1699,G,stimC,fwn1_25,166,1
1700,N,stimD,fwn1_25,189,0
1701,N,fwn1_25,stimD,158,0
1702,N,fwn1_25,stimD,188,0
1703,G,fwn1_25,stimC,173,1
1704,G,fwn1_25,stimC,196,1
1705,N,fwn1_25,stimD,189,0
1706,N,fwn1_25,stimD,173,0
1707,N,fwn1_25,stimD,168,0
1708,N,fwn1_25,stimD,170,0
1709,N,fwn1_25,stimD,206,0
1710,N,fwn1_25,stimD,177,0
1711,N,fwn1_25,stimD,176,0
1712,N,fwn1_25,stimD,177,0
1713,N,fwn1_25,stimD,207,0
1714,N,fwn1_25,stimD,163,0
1715,N,fwn1_25,stimD,203,0
1716,N,fwn1_25,stimD,151,0
1717,N,fwn1_25,stimD,170,0
1718,G,fwn1_25,stimC,196,1
1719,G,fwn1_25,stimC,170,1
1720,N,fwn1_25,stimD,187,0
1721,N,fwn1_25,stimD,177,0
1722,N,fwn1_25,stimD,150,0
1723,N,fwn1_25,stimD,186,0
1724,G,fwn1_25,stimC,186,1
1725,N,fwn1_25,stimD,189,0
1726,N,fwn1_25,stimD,170,0
1727,N,fwn1_25,stimD,180,0
1728,G,fwn1_25,stimC,192,1
1729,N,fwn1_25,stimD,204,0
1730,N,fwn1_25,stimD,153,0
1731,N,fwn1_25,stimD,156,0
1732,N,fwn1_25,stimD,189,0
1733,N,fwn1_25,stimD,196,0
1734,N,fwn1_25,stimD,210,0
1735,N,fwn1_25,stimD,157,0
1736,G,fwn1_25,stimC,172,1
1737,N,fwn1_25,stimD,191,0
1738,G,fwn1_25,stimC,172,1
1739,N,fwn1_25,stimD,202,0
1740,N,fwn1_25,stimD,167,0
1741,N,fwn1_25,stimD,158,0
1742,N,fwn1_25,stimD,191,0
1743,N,fwn1_25,stimD,162,0
1744,G,fwn1_25,stimC,202,1
1745,N,fwn1_25,stimD,195,0
1746,N,fwn1_25,stimD,175,0
1747,N,fwn1_25,stimD,150,0
1748,N,fwn1_25,stimD,159,0
1749,G,fwn1_25,stimC,166,1
1750,N,fwn1_25,stimD,203,0
1751,G,stimC,fwn1_25,186,1
1752,N,stimD,fwn1_25,169,0
1753,G,stimC,fwn1_25,167,1
1754,N,stimD,fwn1_25,176,0
1755,N,stimD,fwn1_25,205,0
1756,N,stimD,fwn1_25,206,0
1757,N,stimD,fwn1_25,180,0
1758,N,stimD,fwn1_25,188,0
1759,N,stimD,fwn1_25,193,0
1760,N,stimD,fwn1_25,151,0
1761,N,stimD,fwn1_25,185,0
1762,G,stimC,fwn1_25,152,1
1763,N,stimD,fwn1_25,175,0
1764,N,stimD,fwn1_25,178,0
1765,N,stimD,fwn1_25,151,0
1766,N,stimD,fwn1_25,153,0
1767,N,stimD,fwn1_25,206,0
1768,G,stimC,fwn1_25,182,1
1769,N,stimD,fwn1_25,172,0
1770,N,stimD,fwn1_25,172,0
1771,G,stimC,fwn1_25,159,1
1772,N,stimD,fwn1_25,159,0
1773,N,stimD,fwn1_25,171,0
1774,N,stimD,fwn1_25,170,0
1775,G,stimC,fwn1_25,197,1
1776,N,stimD,fwn1_25,179,0
1777,N,stimD,fwn1_25,178,0
1778,N,stimD,fwn1_25,158,0
1779,N,stimD,fwn1_25,204,0
1780,N,stimD,fwn1_25,191,0
1781,N,stimD,fwn1_25,200,0
1782,N,stimD,fwn1_25,190,0
1783,G,stimC,fwn1_25,210,1
1784,N,stimD,fwn1_25,209,0
1785,N,stimD,fwn1_25,165,0
1786,N,stimD,fwn1_25,188,0
1787,G,stimC,fwn1_25,194,1
1788,N,stimD,fwn1_25,180,0
1789,N,stimD,fwn1_25,201,0
1790,N,stimD,fwn1_25,161,0
1791,N,stimD,fwn1_25,157,0
1792,N,stimD,fwn1_25,150,0
1793,N,stimD,fwn1_25,159,0
1794,N,stimD,fwn1_25,182,0
1795,G,stimC,fwn1_25,181,1
1796,N,stimD,fwn1_25,173,0
1797,N,stimD,fwn1_25,168,0
1798,N,stimD,fwn1_25,150,0
1799,G,stimC,fwn1_25,199,1
1800,N,stimD,fwn1_25,188,0
1801,G,fwn1_25,stimC,177,1
1802,G,fwn1_25,stimC,164,1
1803,N,fwn1_25,stimD,199,0
1804,N,fwn1_25,stimD,200,0
1805,N,fwn1_25,stimD,201,0
1806,N,fwn1_25,stimD,178,0
1807,N,fwn1_25,stimD,209,0
1808,N,fwn1_25,stimD,201,0
1809,N,fwn1_25,stimD,154,0
1810,N,fwn1_25,stimD,164,0
1811,N,fwn1_25,stimD,199,0
1812,N,fwn1_25,stimD,174,0
1813,N,fwn1_25,stimD,178,0
1814,G,fwn1_25,stimC,208,1
1815,G,fwn1_25,stimC,208,1
1816,N,fwn1_25,stimD,196,0
1817,N,fwn1_25,stimD,185,0
1818,N,fwn1_25,stimD,205,0
1819,N,fwn1_25,stimD,180,0
1820,N,fwn1_25,stimD,160,0
1821,G,fwn1_25,stimC,169,1
1822,N,fwn1_25,stimD,168,0
1823,N,fwn1_25,stimD,184,0
1824,N,fwn1_25,stimD,154,0
1825,G,fwn1_25,stimC,154,1
1826,N,fwn1_25,stimD,160,0
1827,N,fwn1_25,stimD,207,0
1828,N,fwn1_25,stimD,199,0
1829,N,fwn1_25,stimD,193,0
1830,N,fwn1_25,stimD,209,0
1831,N,fwn1_25,stimD,210,0
1832,N,fwn1_25,stimD,210,0
1833,N,fwn1_25,stimD,159,0
1834,G,fwn1_25,stimC,208,1
1835,N,fwn1_25,stimD,182,0
1836,N,fwn1_25,stimD,154,0
1837,N,fwn1_25,stimD,169,0
1838,N,fwn1_25,stimD,204,0
1839,N,fwn1_25,stimD,200,0
1840,G,fwn1_25,stimC,150,1
1841,G,fwn1_25,stimC,189,1
1842,N,fwn1_25,stimD,198,0
1843,N,fwn1_25,stimD,164,0
1844,N,fwn1_25,stimD,153,0
1845,N,fwn1_25,stimD,166,0
1846,N,fwn1_25,stimD,156,0
1847,G,fwn1_25,stimC,179,1
1848,N,fwn1_25,stimD,175,0
1849,N,fwn1_25,stimD,173,0
1850,N,fwn1_25,stimD,204,0
1851,G,stimC,fwn1_25,175,1
1852,N,stimD,fwn1_25,167,0
1853,N,stimD,fwn1_25,152,0
1854,N,stimD,fwn1_25,163,0
1855,N,stimD,fwn1_25,164,0
1856,N,stimD,fwn1_25,151,0
1857,N,stimD,fwn1_25,192,0
1858,G,stimC,fwn1_25,150,1
1859,N,stimD,fwn1_25,187,0
1860,N,stimD,fwn1_25,174,0
1861,G,stimC,fwn1_25,165,1
1862,N,stimD,fwn1_25,189,0
1863,G,stimC,fwn1_25,169,1
1864,N,stimD,fwn1_25,156,0
1865,N,stimD,fwn1_25,182,0
1866,N,stimD,fwn1_25,160,0
1867,N,stimD,fwn1_25,203,0
1868,N,stimD,fwn1_25,190,0
1869,N,stimD,fwn1_25,201,0
1870,N,stimD,fwn1_25,196,0
1871,N,stimD,fwn1_25,199,0
1872,N,stimD,fwn1_25,188,0
1873,N,stimD,fwn1_25,193,0
1874,N,stimD,fwn1_25,192,0
1875,N,stimD,fwn1_25,169,0
1876,N,stimD,fwn1_25,182,0
1877,N,stimD,fwn1_25,203,0
1878,N,stimD,fwn1_25,153,0
1879,G,stimC,fwn1_25,180,1
1880,G,stimC,fwn1_25,176,1
1881,N,stimD,fwn1_25,205,0
1882,N,stimD,fwn1_25,188,0
1883,N,stimD,fwn1_25,209,0
1884,N,stimD,fwn1_25,185,0
1885,G,stimC,fwn1_25,201,1
1886,N,stimD,fwn1_25,178,0
1887,G,stimC,fwn1_25,183,1
1888,N,stimD,fwn1_25,160,0
1889,N,stimD,fwn1_25,188,0
1890,N,stimD,fwn1_25,208,0
1891,N,stimD,fwn1_25,182,0
1892,G,stimC,fwn1_25,179,1
1893,N,stimD,fwn1_25,198,0
1894,N,stimD,fwn1_25,155,0
1895,N,stimD,fwn1_25,203,0
1896,N,stimD,fwn1_25,150,0
1897,G,stimC,fwn1_25,181,1
1898,N,stimD,fwn1_25,191,0
1899,N,stimD,fwn1_25,184,0
1900,N,stimD,fwn1_25,179,0
1901,N,fwn1_25,stimD,169,0
1902,N,fwn1_25,stimD,186,0
1903,G,fwn1_25,stimC,205,1
1904,N,fwn1_25,stimD,191,0
1905,N,fwn1_25,stimD,207,0
1906,G,fwn1_25,stimC,156,1
1907,N,fwn1_25,stimD,181,0
1908,N,fwn1_25,stimD,156,0
1909,N,fwn1_25,stimD,183,0
1910,N,fwn1_25,stimD,192,0
1911,N,fwn1_25,stimD,158,0
1912,G,fwn1_25,stimC,197,1
1913,N,fwn1_25,stimD,174,0
1914,N,fwn1_25,stimD,204,0
1915,N,fwn1_25,stimD,168,0
1916,N,fwn1_25,stimD,153,0
1917,N,fwn1_25,stimD,163,0
1918,N,fwn1_25,stimD,155,0
1919,N,fwn1_25,stimD,207,0
1920,G,fwn1_25,stimC,150,1
1921,G,fwn1_25,stimC,156,1
1922,N,fwn1_25,stimD,150,0
1923,N,fwn1_25,stimD,163,0
1924,N,fwn1_25,stimD,150,0
1925,N,fwn1_25,stimD,189,0
1926,N,fwn1_25,stimD,181,0
1927,N,fwn1_25,stimD,164,0
1928,G,fwn1_25,stimC,161,1
1929,N,fwn1_25,stimD,155,0
1930,N,fwn1_25,stimD,172,0
1931,N,fwn1_25,stimD,150,0
1932,G,fwn1_25,stimC,186,1
1933,N,fwn1_25,stimD,179,0
1934,N,fwn1_25,stimD,168,0
1935,N,fwn1_25,stimD,195,0
1936,N,fwn1_25,stimD,201,0
1937,G,fwn1_25,stimC,166,1
1938,N,fwn1_25,stimD,181,0
1939,N,fwn1_25,stimD,177,0
1940,N,fwn1_25,stimD,170,0
1941,N,fwn1_25,stimD,201,0
1942,N,fwn1_25,stimD,209,0
1943,G,fwn1_25,stimC,188,1
1944,G,fwn1_25,stimC,161,1
1945,N,fwn1_25,stimD,157,0
1946,N,fwn1_25,stimD,185,0
1947,N,fwn1_25,stimD,170,0
1948,N,fwn1_25,stimD,166,0
1949,N,fwn1_25,stimD,183,0
1950,N,fwn1_25,stimD,161,0
1951,N,stimD,fwn1_25,191,0
1952,N,stimD,fwn1_25,153,0
1953,N,stimD,fwn1_25,152,0
1954,G,stimC,fwn1_25,167,1
1955,G,stimC,fwn1_25,154,1
1956,N,stimD,fwn1_25,204,0
1957,N,stimD,fwn1_25,201,0
1958,N,stimD,fwn1_25,174,0
1959,N,stimD,fwn1_25,160,0
1960,N,stimD,fwn1_25,176,0
1961,N,stimD,fwn1_25,175,0
1962,G,stimC,fwn1_25,194,1
1963,G,stimC,fwn1_25,174,1
1964,N,stimD,fwn1_25,208,0
1965,N,stimD,fwn1_25,205,0
1966,N,stimD,fwn1_25,208,0
1967,N,stimD,fwn1_25,171,0
1968,N,stimD,fwn1_25,167,0
1969,N,stimD,fwn1_25,204,0
1970,N,stimD,fwn1_25,162,0
1971,N,stimD,fwn1_25,157,0
1972,N,stimD,fwn1_25,181,0
1973,N,stimD,fwn1_25,205,0
1974,N,stimD,fwn1_25,174,0
1975,G,stimC,fwn1_25,163,1
1976,G,stimC,fwn1_25,154,1
1977,N,stimD,fwn1_25,206,0
1978,N,stimD,fwn1_25,186,0
1979,N,stimD,fwn1_25,173,0
1980,N,stimD,fwn1_25,190,0
1981,N,stimD,fwn1_25,198,0
1982,N,stimD,fwn1_25,170,0
1983,N,stimD,fwn1_25,192,0
1984,N,stimD,fwn1_25,162,0
1985,N,stimD,fwn1_25,208,0
1986,N,stimD,fwn1_25,193,0
1987,G,stimC,fwn1_25,160,1
1988,G,stimC,fwn1_25,177,1
1989,N,stimD,fwn1_25,188,0
1990,N,stimD,fwn1_25,206,0
1991,N,stimD,fwn1_25,182,0
1992,N,stimD,fwn1_25,188,0
1993,N,stimD,fwn1_25,191,0
1994,N,stimD,fwn1_25,206,0
1995,N,stimD,fwn1_25,159,0
1996,G,stimC,fwn1_25,174,1
1997,N,stimD,fwn1_25,169,0
1998,N,stimD,fwn1_25,192,0
1999,N,stimD,fwn1_25,204,0
2000,G,stimC,fwn1_25,179,1
